from	to	combined_score	Protein1	Protein2
9606.ENSP00000346839	9606.ENSP00000368314	343	FN1	NRCAM
9606.ENSP00000346839	9606.ENSP00000368314	343	FN1	NRCAM
9606.ENSP00000349588	9606.ENSP00000368314	938	ANK2	NRCAM
9606.ENSP00000349588	9606.ENSP00000368314	938	ANK2	NRCAM
9606.ENSP00000366283	9606.ENSP00000368314	169	SLITRK5	NRCAM
9606.ENSP00000366283	9606.ENSP00000368314	169	SLITRK5	NRCAM
9606.ENSP00000262113	9606.ENSP00000370989	201	MYOM2	CD274
9606.ENSP00000262113	9606.ENSP00000370989	201	MYOM2	CD274
9606.ENSP00000264908	9606.ENSP00000370989	164	ANXA3	CD274
9606.ENSP00000264908	9606.ENSP00000370989	164	ANXA3	CD274
9606.ENSP00000278407	9606.ENSP00000370989	227	SERPING1	CD274
9606.ENSP00000278407	9606.ENSP00000370989	227	SERPING1	CD274
9606.ENSP00000289707	9606.ENSP00000370989	281	SLAMF8	CD274
9606.ENSP00000289707	9606.ENSP00000370989	281	SLAMF8	CD274
9606.ENSP00000301887	9606.ENSP00000370989	515	BATF2	CD274
9606.ENSP00000301887	9606.ENSP00000370989	515	BATF2	CD274
9606.ENSP00000313967	9606.ENSP00000370989	183	C1QB	CD274
9606.ENSP00000313967	9606.ENSP00000370989	183	C1QB	CD274
9606.ENSP00000318982	9606.ENSP00000370989	289	EPSTI1	CD274
9606.ENSP00000318982	9606.ENSP00000370989	289	EPSTI1	CD274
9606.ENSP00000330200	9606.ENSP00000370989	266	BTNL9	CD274
9606.ENSP00000330200	9606.ENSP00000370989	266	BTNL9	CD274
9606.ENSP00000341843	9606.ENSP00000370989	298	ETV7	CD274
9606.ENSP00000341843	9606.ENSP00000370989	298	ETV7	CD274
9606.ENSP00000344352	9606.ENSP00000370989	261	ATF3	CD274
9606.ENSP00000344352	9606.ENSP00000370989	261	ATF3	CD274
9606.ENSP00000346839	9606.ENSP00000370989	650	FN1	CD274
9606.ENSP00000346839	9606.ENSP00000370989	650	FN1	CD274
9606.ENSP00000348170	9606.ENSP00000370989	181	HP	CD274
9606.ENSP00000348170	9606.ENSP00000370989	181	HP	CD274
9606.ENSP00000349365	9606.ENSP00000370989	347	IL27	CD274
9606.ENSP00000349365	9606.ENSP00000370989	347	IL27	CD274
9606.ENSP00000349588	9606.ENSP00000370989	158	ANK2	CD274
9606.ENSP00000349588	9606.ENSP00000370989	158	ANK2	CD274
9606.ENSP00000354874	9606.ENSP00000370989	240	SEPTIN4	CD274
9606.ENSP00000354874	9606.ENSP00000370989	240	SEPTIN4	CD274
9606.ENSP00000358165	9606.ENSP00000370989	712	FCGR1A	CD274
9606.ENSP00000358165	9606.ENSP00000370989	712	FCGR1A	CD274
9606.ENSP00000359485	9606.ENSP00000370989	263	GBP6	CD274
9606.ENSP00000359485	9606.ENSP00000370989	263	GBP6	CD274
9606.ENSP00000359488	9606.ENSP00000370989	521	GBP5	CD274
9606.ENSP00000359488	9606.ENSP00000370989	521	GBP5	CD274
9606.ENSP00000359504	9606.ENSP00000370989	545	GBP1	CD274
9606.ENSP00000359504	9606.ENSP00000370989	545	GBP1	CD274
9606.ENSP00000360120	9606.ENSP00000370989	238	ROR1	CD274
9606.ENSP00000360120	9606.ENSP00000370989	238	ROR1	CD274
9606.ENSP00000360998	9606.ENSP00000370989	270	ANKRD22	CD274
9606.ENSP00000360998	9606.ENSP00000370989	270	ANKRD22	CD274
9606.ENSP00000363770	9606.ENSP00000370989	202	C1QC	CD274
9606.ENSP00000363770	9606.ENSP00000370989	202	C1QC	CD274
9606.ENSP00000363773	9606.ENSP00000370989	260	C1QA	CD274
9606.ENSP00000363773	9606.ENSP00000370989	260	C1QA	CD274
9606.ENSP00000273857	9606.ENSP00000374135	156	CORIN	LRP1B
9606.ENSP00000273857	9606.ENSP00000374135	156	CORIN	LRP1B
9606.ENSP00000331242	9606.ENSP00000374135	454	KREMEN1	LRP1B
9606.ENSP00000331242	9606.ENSP00000374135	454	KREMEN1	LRP1B
9606.ENSP00000346839	9606.ENSP00000374135	233	FN1	LRP1B
9606.ENSP00000346839	9606.ENSP00000374135	233	FN1	LRP1B
9606.ENSP00000349588	9606.ENSP00000374135	209	ANK2	LRP1B
9606.ENSP00000349588	9606.ENSP00000374135	209	ANK2	LRP1B
9606.ENSP00000355133	9606.ENSP00000374135	173	NOS1AP	LRP1B
9606.ENSP00000355133	9606.ENSP00000374135	173	NOS1AP	LRP1B
9606.ENSP00000356545	9606.ENSP00000374135	241	CACNA1E	LRP1B
9606.ENSP00000356545	9606.ENSP00000374135	241	CACNA1E	LRP1B
9606.ENSP00000360120	9606.ENSP00000374135	159	ROR1	LRP1B
9606.ENSP00000360120	9606.ENSP00000374135	159	ROR1	LRP1B
9606.ENSP00000368314	9606.ENSP00000374135	176	NRCAM	LRP1B
9606.ENSP00000368314	9606.ENSP00000374135	176	NRCAM	LRP1B
9606.ENSP00000370989	9606.ENSP00000374135	349	CD274	LRP1B
9606.ENSP00000370989	9606.ENSP00000374135	349	CD274	LRP1B
9606.ENSP00000242728	9606.ENSP00000376553	160	BHLHE41	TMEM119
9606.ENSP00000242728	9606.ENSP00000376553	160	BHLHE41	TMEM119
9606.ENSP00000265113	9606.ENSP00000376553	288	SLC1A3	TMEM119
9606.ENSP00000265113	9606.ENSP00000376553	288	SLC1A3	TMEM119
9606.ENSP00000313967	9606.ENSP00000376553	376	C1QB	TMEM119
9606.ENSP00000313967	9606.ENSP00000376553	376	C1QB	TMEM119
9606.ENSP00000344352	9606.ENSP00000376553	159	ATF3	TMEM119
9606.ENSP00000344352	9606.ENSP00000376553	159	ATF3	TMEM119
9606.ENSP00000346839	9606.ENSP00000376553	168	FN1	TMEM119
9606.ENSP00000346839	9606.ENSP00000376553	168	FN1	TMEM119
9606.ENSP00000352172	9606.ENSP00000376553	176	VSIG10	TMEM119
9606.ENSP00000352172	9606.ENSP00000376553	176	VSIG10	TMEM119
9606.ENSP00000358165	9606.ENSP00000376553	324	FCGR1A	TMEM119
9606.ENSP00000358165	9606.ENSP00000376553	324	FCGR1A	TMEM119
9606.ENSP00000363770	9606.ENSP00000376553	363	C1QC	TMEM119
9606.ENSP00000363770	9606.ENSP00000376553	363	C1QC	TMEM119
9606.ENSP00000363773	9606.ENSP00000376553	705	C1QA	TMEM119
9606.ENSP00000363773	9606.ENSP00000376553	705	C1QA	TMEM119
9606.ENSP00000370989	9606.ENSP00000376553	181	CD274	TMEM119
9606.ENSP00000370989	9606.ENSP00000376553	181	CD274	TMEM119
9606.ENSP00000264908	9606.ENSP00000376849	202	ANXA3	CASP5
9606.ENSP00000264908	9606.ENSP00000376849	202	ANXA3	CASP5
9606.ENSP00000278407	9606.ENSP00000376849	198	SERPING1	CASP5
9606.ENSP00000278407	9606.ENSP00000376849	198	SERPING1	CASP5
9606.ENSP00000289707	9606.ENSP00000376849	152	SLAMF8	CASP5
9606.ENSP00000289707	9606.ENSP00000376849	152	SLAMF8	CASP5
9606.ENSP00000301887	9606.ENSP00000376849	176	BATF2	CASP5
9606.ENSP00000301887	9606.ENSP00000376849	176	BATF2	CASP5
9606.ENSP00000313967	9606.ENSP00000376849	205	C1QB	CASP5
9606.ENSP00000313967	9606.ENSP00000376849	205	C1QB	CASP5
9606.ENSP00000328230	9606.ENSP00000376849	168	FFAR3	CASP5
9606.ENSP00000328230	9606.ENSP00000376849	168	FFAR3	CASP5
9606.ENSP00000341843	9606.ENSP00000376849	164	ETV7	CASP5
9606.ENSP00000341843	9606.ENSP00000376849	164	ETV7	CASP5
9606.ENSP00000349365	9606.ENSP00000376849	163	IL27	CASP5
9606.ENSP00000349365	9606.ENSP00000376849	163	IL27	CASP5
9606.ENSP00000358165	9606.ENSP00000376849	344	FCGR1A	CASP5
9606.ENSP00000358165	9606.ENSP00000376849	344	FCGR1A	CASP5
9606.ENSP00000359485	9606.ENSP00000376849	162	GBP6	CASP5
9606.ENSP00000359485	9606.ENSP00000376849	162	GBP6	CASP5
9606.ENSP00000359488	9606.ENSP00000376849	403	GBP5	CASP5
9606.ENSP00000359488	9606.ENSP00000376849	403	GBP5	CASP5
9606.ENSP00000359504	9606.ENSP00000376849	384	GBP1	CASP5
9606.ENSP00000359504	9606.ENSP00000376849	384	GBP1	CASP5
9606.ENSP00000360998	9606.ENSP00000376849	182	ANKRD22	CASP5
9606.ENSP00000360998	9606.ENSP00000376849	182	ANKRD22	CASP5
9606.ENSP00000363770	9606.ENSP00000376849	157	C1QC	CASP5
9606.ENSP00000363770	9606.ENSP00000376849	157	C1QC	CASP5
9606.ENSP00000363773	9606.ENSP00000376849	208	C1QA	CASP5
9606.ENSP00000363773	9606.ENSP00000376849	208	C1QA	CASP5
9606.ENSP00000370989	9606.ENSP00000376849	326	CD274	CASP5
9606.ENSP00000370989	9606.ENSP00000376849	326	CD274	CASP5
9606.ENSP00000250784	9606.ENSP00000378356	296	RPS4Y1	KIF20A
9606.ENSP00000250784	9606.ENSP00000378356	296	RPS4Y1	KIF20A
9606.ENSP00000342812	9606.ENSP00000378356	292	USP9Y	KIF20A
9606.ENSP00000342812	9606.ENSP00000378356	292	USP9Y	KIF20A
9606.ENSP00000349588	9606.ENSP00000378356	294	ANK2	KIF20A
9606.ENSP00000349588	9606.ENSP00000378356	294	ANK2	KIF20A
9606.ENSP00000354874	9606.ENSP00000378356	163	SEPTIN4	KIF20A
9606.ENSP00000354874	9606.ENSP00000378356	163	SEPTIN4	KIF20A
9606.ENSP00000356037	9606.ENSP00000378356	353	C4BPA	KIF20A
9606.ENSP00000356037	9606.ENSP00000378356	353	C4BPA	KIF20A
9606.ENSP00000366582	9606.ENSP00000378356	268	INSYN2B	KIF20A
9606.ENSP00000366582	9606.ENSP00000378356	268	INSYN2B	KIF20A
9606.ENSP00000273857	9606.ENSP00000379823	292	CORIN	COL4A3
9606.ENSP00000273857	9606.ENSP00000379823	292	CORIN	COL4A3
9606.ENSP00000313967	9606.ENSP00000379823	161	C1QB	COL4A3
9606.ENSP00000313967	9606.ENSP00000379823	161	C1QB	COL4A3
9606.ENSP00000346839	9606.ENSP00000379823	456	FN1	COL4A3
9606.ENSP00000346839	9606.ENSP00000379823	456	FN1	COL4A3
9606.ENSP00000363770	9606.ENSP00000379823	228	C1QC	COL4A3
9606.ENSP00000363770	9606.ENSP00000379823	228	C1QC	COL4A3
9606.ENSP00000313967	9606.ENSP00000379866	162	C1QB	COL4A4
9606.ENSP00000313967	9606.ENSP00000379866	162	C1QB	COL4A4
9606.ENSP00000346839	9606.ENSP00000379866	299	FN1	COL4A4
9606.ENSP00000346839	9606.ENSP00000379866	299	FN1	COL4A4
9606.ENSP00000363770	9606.ENSP00000379866	226	C1QC	COL4A4
