Protein1	Protein2	combined_score
RPS4Y1	OLAH	248
ANXA3	HP	247
EPSTI1	C1QA	247
C1QB	GPR84	247
HP	GPR84	247
SLAMF8	EPSTI1	246
EIF1AY	C1orf226	246
FN1	C4BPA	245
FGF13	SOX5	243
CD274	CD177	243
NRCAM	SYN2	242
VSIG10	NOS1AP	241
CACNA1E	LRP1B	241
WNT16	SOX5	241
FFAR3	HP	240
SLC1A3	ANK2	240
EPSTI1	ANKRD22	240
GBP5	C1QC	240
SEPTIN4	CD274	240
MYOM2	CSMD1	240
HP	C1QC	238
BATF2	C1QA	238
ROR1	CD274	238
GRIN3A	CACNA1E	237
C1QB	HP	236
FCGR1A	GBP6	236
BHLHE41	ATF3	235
DDX3Y	ANKRD22	235
SLC1A3	C1QA	235
SLC1A3	NRCAM	235
KREMEN1	FGF13	235
FN1	CD177	235
CORIN	OTX1	234
CASP5	CD177	234
FN1	LRP1B	233
C1QA	PDCD1LG2	233
FN1	SOX5	233
C1QC	GPR84	233
ANOS1	NRCAM	232
SYN2	CSMD1	232
FBXO39	KCNK17	231
GRIN3A	GRIP1	230
SERPING1	CSMD1	230
C1QC	COL4A3	228
SLC1A3	SEPTIN4	227
ATF3	C1QA	227
SERPING1	CD274	227
CD274	IFI27	227
SLC1A3	C1QB	226
C1QC	COL4A4	226
ZFY	C1orf226	226
FGF13	SYN2	226
HPN	HP	225
CACNA1E	CSMD1	225
IL27	FCGR1A	224
ANOS1	ETV7	223
BTNL9	FHAD1	223
BHLHE41	KCNK17	223
BTNL9	PDCD1LG2	223
ATF3	FGF13	223
RPS4Y1	C1orf226	223
CORIN	GRIN3A	222
IL27	UTY	222
NOS1AP	GRIN3A	221
MYOM2	UTY	221
USP9Y	C1orf226	220
SLAMF8	GBP1	219
FN1	C1QC	218
HPN	MMP19	217
GDF7	VSIG10	216
ANK2	SEPTIN4	216
ETV7	GBP6	214
APOL4	GBP5	214
ANOS1	GRIN3A	213
GDF7	FGF13	213
SERPING1	PDCD1LG2	212
GBP5	PDCD1LG2	211
UTY	ARL17B	211
MOXD1	DDO	210
WNT16	GDF7	209
ANK2	LRP1B	209
C1QA	CASP5	208
GRIN3A	SYN2	208
ARL17A	UTY	207
ANKRD22	UTY	207
HPN	FN1	206
HPN	ANKRD22	206
SLITRK5	SYBU	206
PLLP	SEPTIN4	205
C1QB	CASP5	205
WNT16	CORIN	203
NRCAM	GRIP1	203
HP	C1QA	202
C1QC	CD274	202
